Plot,Forest,Season,Category,Abundance,Relative_abundance,TC,TN,TP,pH,CN,CP,NP,restoration
RM1,RM,Dry,Saprophytic fungi,7013,20.44606414,20.98,2.08,2.7475,5.346666667,10.08653846,7.636032757,0.757051865,Monoculture
RM2,RM,Dry,Saprophytic fungi,7643,22.28279883,16.85,1.71,2.4934,5.22,9.85380117,6.757840699,0.68581054,Monoculture
RM3,RM,Dry,Saprophytic fungi,12984,37.85422741,19,1.95,2.68245,5.433333333,9.743589744,7.083077038,0.72694738,Monoculture
RM4,RM,Dry,Saprophytic fungi,7944,23.16034985,19.42,1.98,1.1174,5.073333333,9.808080808,17.37963129,1.771970646,Monoculture
NR1,NR,Dry,Saprophytic fungi,5596,16.3148688,26.82,2.49,0.63905,4.21,10.77108434,41.96854706,3.896408732,Restored forest
NR2,NR,Dry,Saprophytic fungi,7452,21.72594752,25.73,2.45,0.55065,4.3,10.50204082,46.72659584,4.449287206,Restored forest
NR3,NR,Dry,Saprophytic fungi,18276,53.28279883,22.78,2.25,0.5507,4.443333333,10.12444444,41.36553477,4.085709098,Restored forest
NR4,NR,Dry,Saprophytic fungi,11616,33.86588921,21.43,2.06,0.52565,4.476666667,10.40291262,40.76857224,3.918957481,Restored forest
RP1,RP,Dry,Saprophytic fungi,7703,22.45772595,20.04,1.97,0.51615,4.823333333,10.17258883,38.8259227,3.816719946,Restored forest
RP2,RP,Dry,Saprophytic fungi,16433,47.90962099,22.07,2.14,0.5012,4.813333333,10.31308411,44.03431764,4.269752594,Restored forest
RP3,RP,Dry,Saprophytic fungi,6372,18.57725948,21.76,2.05,0.48735,4.853333333,10.61463415,44.64963579,4.206422489,Restored forest
RP4,RP,Dry,Saprophytic fungi,15667,45.67638484,22.18,2.15,0.5534,4.626666667,10.31627907,40.07950849,3.885074087,Restored forest
MF1,MF,Dry,Saprophytic fungi,16909,49.29737609,28.04,2.91,0.5943,5.563333333,9.635738832,47.18155814,4.896516911,Rainforest
MF2,MF,Dry,Saprophytic fungi,14282,41.63848397,28.83,2.81,0.5519,5.846666667,10.25978648,52.23772423,5.091502084,Rainforest
MF3,MF,Dry,Saprophytic fungi,9454,27.56268222,22.94,2.62,0.5901,5.11,8.755725191,38.87476699,4.439925436,Rainforest
MF4,MF,Dry,Saprophytic fungi,12118,35.32944606,31.77,3.33,0.68995,5.81,9.540540541,46.04681499,4.826436698,Rainforest
RM1,RM,Wet,Saprophytic fungi,13840,40.34985423,16.66,1.78,1.23,5.52,9.359550562,13.54471545,1.447154472,Monoculture
RM2,RM,Wet,Saprophytic fungi,15539,45.303207,18.53,1.85,1.15,4.93,10.01621622,16.11304348,1.608695652,Monoculture
RM3,RM,Wet,Saprophytic fungi,16915,49.3148688,21.74,2.17,1.18,5.28666,10.01843318,18.42372881,1.838983051,Monoculture
RM4,RM,Wet,Saprophytic fungi,11718,34.16326531,20.87,2,0.749,5.03,10.435,27.86381842,2.670226969,Monoculture
NR1,NR,Wet,Saprophytic fungi,11593,33.79883382,24.13,2.44,0.531,4.26,9.889344262,45.44256121,4.595103578,Restored forest
NR2,NR,Wet,Saprophytic fungi,14293,41.67055394,24.34,2.4,0.478,4.13,10.14166667,50.92050209,5.020920502,Restored forest
NR3,NR,Wet,Saprophytic fungi,16201,47.23323615,20.83,2.08,0.517,4.25,10.01442308,40.2901354,4.023210832,Restored forest
NR4,NR,Wet,Saprophytic fungi,11364,33.13119534,20.63,2.09,0.456,4.22,9.870813397,45.24122807,4.583333333,Restored forest
RP1,RP,Wet,Saprophytic fungi,14417,42.03206997,21.01,2.04,0.439,4.72,10.29901961,47.85876993,4.646924829,Restored forest
RP2,RP,Wet,Saprophytic fungi,15990,46.6180758,21.99,2.13,0.446,4.78666,10.32394366,49.30493274,4.775784753,Restored forest
RP3,RP,Wet,Saprophytic fungi,12826,37.39358601,22.26,2.18,0.466,4.8,10.21100917,47.76824034,4.678111588,Restored forest
RP4,RP,Wet,Saprophytic fungi,16764,48.87463557,19.4,2.09,0.483,4.7,9.282296651,40.16563147,4.327122153,Restored forest
MF1,MF,Wet,Saprophytic fungi,15115,44.06705539,34.24,3.53,0.703,5.95,9.699716714,48.70554765,5.021337127,Rainforest
MF2,MF,Wet,Saprophytic fungi,14571,42.48104956,31.67,3.21,0.538,6.61,9.866043614,58.866171,5.966542751,Rainforest
MF3,MF,Wet,Saprophytic fungi,12733,37.12244898,23.78,2.76,0.622,5.32,8.615942029,38.23151125,4.437299035,Rainforest
MF4,MF,Wet,Saprophytic fungi,10578,30.83965015,41.14,3.97,0.71,6.49,10.3627204,57.94366197,5.591549296,Rainforest
RM1,RM,Dry,Pathogenic fungi,1975,5.758017493,20.98,2.08,2.7475,5.346666667,10.08653846,7.636032757,0.757051865,Monoculture
RM2,RM,Dry,Pathogenic fungi,1208,3.521865889,16.85,1.71,2.4934,5.22,9.85380117,6.757840699,0.68581054,Monoculture
RM3,RM,Dry,Pathogenic fungi,2084,6.075801749,19,1.95,2.68245,5.433333333,9.743589744,7.083077038,0.72694738,Monoculture
RM4,RM,Dry,Pathogenic fungi,2373,6.918367347,19.42,1.98,1.1174,5.073333333,9.808080808,17.37963129,1.771970646,Monoculture
NR1,NR,Dry,Pathogenic fungi,1603,4.673469388,26.82,2.49,0.63905,4.21,10.77108434,41.96854706,3.896408732,Restored forest
NR2,NR,Dry,Pathogenic fungi,3825,11.1516035,25.73,2.45,0.55065,4.3,10.50204082,46.72659584,4.449287206,Restored forest
NR3,NR,Dry,Pathogenic fungi,6502,18.95626822,22.78,2.25,0.5507,4.443333333,10.12444444,41.36553477,4.085709098,Restored forest
NR4,NR,Dry,Pathogenic fungi,9031,26.32944606,21.43,2.06,0.52565,4.476666667,10.40291262,40.76857224,3.918957481,Restored forest
RP1,RP,Dry,Pathogenic fungi,1164,3.393586006,20.04,1.97,0.51615,4.823333333,10.17258883,38.8259227,3.816719946,Restored forest
RP2,RP,Dry,Pathogenic fungi,5704,16.62973761,22.07,2.14,0.5012,4.813333333,10.31308411,44.03431764,4.269752594,Restored forest
RP3,RP,Dry,Pathogenic fungi,2161,6.300291545,21.76,2.05,0.48735,4.853333333,10.61463415,44.64963579,4.206422489,Restored forest
RP4,RP,Dry,Pathogenic fungi,1899,5.536443149,22.18,2.15,0.5534,4.626666667,10.31627907,40.07950849,3.885074087,Restored forest
MF1,MF,Dry,Pathogenic fungi,5793,16.88921283,28.04,2.91,0.5943,5.563333333,9.635738832,47.18155814,4.896516911,Rainforest
MF2,MF,Dry,Pathogenic fungi,9670,28.19241983,28.83,2.81,0.5519,5.846666667,10.25978648,52.23772423,5.091502084,Rainforest
MF3,MF,Dry,Pathogenic fungi,7451,21.72303207,22.94,2.62,0.5901,5.11,8.755725191,38.87476699,4.439925436,Rainforest
MF4,MF,Dry,Pathogenic fungi,8576,25.00291545,31.77,3.33,0.68995,5.81,9.540540541,46.04681499,4.826436698,Rainforest
RM1,RM,Wet,Pathogenic fungi,5884,17.15451895,16.66,1.78,1.23,5.52,9.359550562,13.54471545,1.447154472,Monoculture
RM2,RM,Wet,Pathogenic fungi,1849,5.390670554,18.53,1.85,1.15,4.93,10.01621622,16.11304348,1.608695652,Monoculture
RM3,RM,Wet,Pathogenic fungi,4074,11.87755102,21.74,2.17,1.18,5.28666,10.01843318,18.42372881,1.838983051,Monoculture
RM4,RM,Wet,Pathogenic fungi,2672,7.790087464,20.87,2,0.749,5.03,10.435,27.86381842,2.670226969,Monoculture
NR1,NR,Wet,Pathogenic fungi,6059,17.66472303,24.13,2.44,0.531,4.26,9.889344262,45.44256121,4.595103578,Restored forest
NR2,NR,Wet,Pathogenic fungi,7879,22.97084548,24.34,2.4,0.478,4.13,10.14166667,50.92050209,5.020920502,Restored forest
NR3,NR,Wet,Pathogenic fungi,6853,19.97959184,20.83,2.08,0.517,4.25,10.01442308,40.2901354,4.023210832,Restored forest
NR4,NR,Wet,Pathogenic fungi,4464,13.01457726,20.63,2.09,0.456,4.22,9.870813397,45.24122807,4.583333333,Restored forest
RP1,RP,Wet,Pathogenic fungi,4913,14.32361516,21.01,2.04,0.439,4.72,10.29901961,47.85876993,4.646924829,Restored forest
RP2,RP,Wet,Pathogenic fungi,2399,6.994169096,21.99,2.13,0.446,4.78666,10.32394366,49.30493274,4.775784753,Restored forest
RP3,RP,Wet,Pathogenic fungi,3519,10.25947522,22.26,2.18,0.466,4.8,10.21100917,47.76824034,4.678111588,Restored forest
RP4,RP,Wet,Pathogenic fungi,3858,11.24781341,19.4,2.09,0.483,4.7,9.282296651,40.16563147,4.327122153,Restored forest
MF1,MF,Wet,Pathogenic fungi,6774,19.74927114,34.24,3.53,0.703,5.95,9.699716714,48.70554765,5.021337127,Rainforest
MF2,MF,Wet,Pathogenic fungi,13079,38.13119534,31.67,3.21,0.538,6.61,9.866043614,58.866171,5.966542751,Rainforest
MF3,MF,Wet,Pathogenic fungi,8894,25.93002915,23.78,2.76,0.622,5.32,8.615942029,38.23151125,4.437299035,Rainforest
MF4,MF,Wet,Pathogenic fungi,13204,38.49562682,41.14,3.97,0.71,6.49,10.3627204,57.94366197,5.591549296,Rainforest
RM1,RM,Dry,Symbiotic fungi,283,0.825072886,20.98,2.08,2.7475,5.346666667,10.08653846,7.636032757,0.757051865,Monoculture
RM2,RM,Dry,Symbiotic fungi,80,0.233236152,16.85,1.71,2.4934,5.22,9.85380117,6.757840699,0.68581054,Monoculture
RM3,RM,Dry,Symbiotic fungi,506,1.475218659,19,1.95,2.68245,5.433333333,9.743589744,7.083077038,0.72694738,Monoculture
RM4,RM,Dry,Symbiotic fungi,347,1.011661808,19.42,1.98,1.1174,5.073333333,9.808080808,17.37963129,1.771970646,Monoculture
NR1,NR,Dry,Symbiotic fungi,18345,53.48396501,26.82,2.49,0.63905,4.21,10.77108434,41.96854706,3.896408732,Restored forest
NR2,NR,Dry,Symbiotic fungi,5759,16.79008746,25.73,2.45,0.55065,4.3,10.50204082,46.72659584,4.449287206,Restored forest
NR3,NR,Dry,Symbiotic fungi,335,0.976676385,22.78,2.25,0.5507,4.443333333,10.12444444,41.36553477,4.085709098,Restored forest
NR4,NR,Dry,Symbiotic fungi,5571,16.24198251,21.43,2.06,0.52565,4.476666667,10.40291262,40.76857224,3.918957481,Restored forest
