VT,SB01,SB02,SB03,SB04,SB05,SB06,SB07,SB08,SB09,SB10,SB11,SB12,SB13,SB14,SB15,SB16,XS01,XS02,XS03,XS04,XS05,XS06,XS07,XS08,XS09,XS10,XS11,XS12,XS13,XS14,XS15,XS16
VTX00410,0,0,0,82,0,0,0,0,0,1501,0,0,0,0,0,0,0,385,2364,648,0,0,0,0,0,712,0,0,0,0,0,0
VTX00411,0,0,0,9,0,0,0,0,0,0,0,0,0,0,13,0,6,12,0,4,0,0,0,0,19,0,0,0,0,0,0,0
VTX00413,0,0,0,5,1,8,1,4,0,0,1,0,3,1,1,0,0,4,1,2,1,2,4,0,0,1,0,8,0,0,0,0
VTX00417,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7
VTX00419,0,0,0,0,0,0,0,0,560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,535
VTX00420,0,865,0,161,0,0,0,0,0,0,0,0,0,0,0,21,0,739,2,1151,0,0,0,0,0,0,0,0,13,0,0,0
VTX00426,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,591,0,0,0,0,0,239,0,0,0,0,0,0,0,0,0
VTX00436,2368,1102,6435,253,0,0,0,0,945,0,826,3327,0,0,0,0,880,4363,1300,2143,0,0,0,0,4930,0,0,0,0,0,1176,1
VTX00441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
VTX00446,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
