OTU,SB01,SB02,SB03,SB04,SB05,SB06,SB07,SB08,SB09,SB10,SB11,SB12,SB13,SB14,SB15,SB16,XS01,XS02,XS03,XS04,XS05,XS06,XS07,XS08,XS09,XS10,XS11,XS12,XS13,XS14,XS15,XS16
CL00247,0,4,5,0,12,7,62,66,9,79,48,26,32,24,12,71,0,0,0,0,3,6,33,24,29,82,9,73,30,18,12,2
CL00260,0,0,0,0,0,0,0,0,0,0,0,0,0,94,29,193,0,0,0,0,0,0,0,0,0,0,1,0,47,59,106,161
CL00268,0,0,0,0,0,0,0,0,0,0,0,0,0,23,44,124,0,0,0,0,0,0,0,0,0,0,0,0,0,139,0,431
CL00279,0,9,0,51,0,0,24,21,42,26,0,28,0,0,4,12,24,22,12,67,44,1,26,29,43,0,165,71,0,3,1,9
CL00284,0,22,10,26,0,22,119,28,7,122,6,31,0,0,3,0,88,9,20,53,1,9,4,7,15,3,23,83,0,0,0,0
CL00285,0,0,0,0,0,0,0,0,1,0,1,0,1,26,0,10,0,0,0,0,2,0,7,2,1,0,2,2,128,31,0,519
CL00295,6,3,1,42,0,1,3,0,1,0,12,1,0,16,0,1,277,33,114,57,0,6,27,24,29,14,29,29,27,0,0,5
CL00301,20,3,0,47,0,0,37,6,8,21,3,0,2,87,15,13,15,19,23,13,4,65,22,35,16,2,1,0,0,2,123,24
CL00344,0,0,0,11,13,0,0,1,5,11,6,5,1,64,26,11,16,0,0,0,14,15,58,6,21,26,26,34,48,37,17,44
CL00345,3,0,0,12,2,7,33,0,1,10,5,2,46,192,16,15,3,4,0,4,12,3,11,0,6,4,0,8,13,62,9,12
CL00346,0,0,0,0,0,17,5,9,0,4,0,2,0,0,0,0,0,0,0,0,130,137,79,94,47,0,1,9,0,0,0,0
CL00350,0,0,0,0,0,0,0,0,0,0,0,0,5,66,36,51,0,0,0,9,0,0,0,0,0,1,0,0,110,133,25,30
CL00352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,18,123,66,80,11,41,63,27,7,21,5,8,0,14,2
CL00353,21,19,8,2,0,14,8,0,0,2,18,9,11,5,5,16,25,53,3,8,12,2,15,35,24,0,32,27,70,2,16,81
CL00360,0,0,0,0,0,5,4,0,0,20,0,0,33,67,0,26,0,0,0,0,0,0,34,0,0,9,0,15,88,37,26,134
CL00368,12,3,37,12,0,0,0,0,1,8,3,2,0,177,161,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CL00386,6,5,60,5,0,0,0,0,8,0,0,0,5,1,0,7,118,20,0,4,0,0,7,0,0,0,1,0,0,204,2,22
CL00388,20,60,157,4,5,4,0,4,9,5,4,3,110,0,0,0,1,7,2,14,9,0,2,3,30,4,4,2,0,0,0,0
CL00393,0,0,0,15,0,0,0,1,1,12,3,0,11,15,21,0,143,2,20,0,0,3,13,0,0,0,1,52,167,0,3,0
CL00400,0,0,0,0,0,0,6,15,1,30,0,0,0,9,3,0,9,3,0,0,0,0,1,20,38,6,38,109,0,0,134,17
CL00416,0,0,0,0,0,0,0,0,0,0,6,0,0,0,205,0,0,0,0,0,0,25,0,0,0,8,0,0,0,0,165,0
CL00422,0,0,0,0,0,0,0,0,0,0,0,0,45,65,34,27,0,0,19,2,0,0,0,0,0,0,0,0,41,68,49,56
CL00427,0,0,0,0,0,0,0,0,0,0,10,0,0,0,7,42,0,0,0,0,0,0,0,0,0,0,28,0,166,3,153,0
CL00429,0,0,0,0,24,12,17,85,13,53,27,16,83,3,38,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CL00430,0,0,6,13,0,0,0,0,2,0,0,0,81,22,20,46,29,4,19,20,0,0,0,0,0,7,3,7,39,18,29,26
CL00436,52,0,0,16,5,61,0,8,8,0,8,13,9,9,12,5,22,12,1,7,28,23,38,11,0,12,0,12,4,0,23,4
CL00442,37,0,0,18,19,0,0,0,0,24,1,1,0,0,14,0,70,0,3,33,0,0,5,12,43,0,10,88,18,2,7,0
CL00449,0,1,0,7,0,0,0,0,0,0,4,0,70,44,26,41,2,0,0,0,0,0,0,0,0,2,0,0,39,23,74,31
CL00455,0,0,0,0,11,33,3,1,17,13,0,3,0,0,0,0,0,0,0,0,41,32,69,7,60,0,13,34,0,0,0,0
CL00457,45,0,112,33,0,0,0,0,9,0,3,0,0,0,0,0,19,6,94,18,0,0,0,0,0,55,0,0,0,0,0,0
CL00460,0,1,0,0,0,0,10,0,2,50,4,0,33,24,11,17,0,0,3,0,0,0,29,0,5,25,0,0,53,32,13,30
CL00466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,0,0,0,0,0,383
CL00468,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,103,0,14
CL00473,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226,0,14
CL00475,0,0,2,36,8,45,7,18,0,18,4,4,0,0,0,0,0,0,3,0,21,89,26,26,14,0,0,0,0,0,0,0
CL00476,7,0,0,0,0,2,9,0,2,16,7,2,1,0,1,0,0,9,0,0,12,8,26,142,4,0,21,12,50,11,7,3
CL00479,0,0,0,0,0,0,0,0,0,0,0,0,0,76,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,27
CL00482,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,1,0,6,0,28,151,26,10,69,0,8,35,0,0,0,0
CL00485,0,0,0,0,0,0,0,0,0,0,0,0,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,0,0,0
CL00495,0,0,0,0,0,0,0,0,4,1,0,9,24,21,5,77,0,0,0,0,0,1,75,0,0,0,0,0,1,24,7,65
CL00498,0,7,5,35,0,0,0,0,0,0,0,0,0,0,0,0,39,37,11,119,0,0,0,0,0,0,74,17,0,0,0,0
CL00502,14,2,0,1,10,6,18,2,1,2,3,3,7,25,6,44,0,0,2,0,0,13,4,6,0,1,2,2,38,21,15,50
CL00504,0,0,0,2,3,23,8,1,0,18,0,0,0,0,0,0,0,2,10,5,90,32,72,18,25,0,0,9,0,0,0,0
CL00508,0,0,0,0,0,0,0,0,0,2,3,0,0,4,5,9,53,0,0,0,12,71,30,0,2,62,10,31,0,9,0,17
CL00516,0,0,0,0,0,0,0,0,4,6,0,0,1,30,1,0,0,0,0,0,0,0,0,0,0,0,129,5,42,0,71,7
CL00532,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,165,10,0,6
CL00542,0,0,0,0,4,22,5,47,0,2,0,3,0,0,0,0,0,0,0,0,42,70,50,34,0,0,2,19,0,0,0,0
CL00544,0,0,0,0,0,0,0,0,0,1,0,0,0,98,0,13,0,0,0,0,0,0,0,0,0,0,0,0,16,99,0,14
CL00548,1,0,1,0,1,0,2,2,0,1,0,0,4,140,3,4,0,1,3,0,0,1,0,1,4,0,1,4,10,48,12,5
CL00551,0,0,0,0,0,0,0,3,4,6,19,14,0,0,0,0,0,10,0,0,0,0,0,0,31,159,21,31,0,0,0,0
CL00553,0,0,0,0,0,0,0,0,0,0,0,0,13,0,4,158,0,0,0,0,0,0,0,0,0,0,0,0,8,0,31,19
CL00556,0,1,3,0,0,0,0,0,1,0,5,0,0,0,2,0,28,1,23,13,0,79,0,0,31,0,10,5,0,17,0,66
CL00561,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177,53
CL00570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,3,224,12,15
CL00572,0,0,0,0,1,0,0,0,6,5,23,0,10,7,0,10,0,0,0,4,0,12,76,8,9,16,42,16,8,11,0,3
CL00573,0,0,0,0,0,0,0,0,1,4,9,0,0,0,27,7,0,0,72,0,0,0,0,57,22,1,4,51,0,0,34,0
CL00577,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,73,40,68
CL00580,0,0,1,0,0,0,0,0,0,3,0,1,0,0,0,0,42,2,68,47,1,4,36,3,21,0,42,18,0,0,0,0
CL00582,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
CL00586,7,16,0,0,0,0,12,0,0,103,5,0,20,5,3,1,2,10,0,0,0,5,15,0,0,0,0,0,1,0,10,39
CL00593,0,0,0,0,0,0,11,0,0,0,0,0,0,27,0,103,0,0,0,0,0,0,5,0,0,0,0,0,0,0,33,41
CL00601,6,10,0,2,4,12,55,19,5,5,1,5,0,0,19,4,0,5,7,0,10,15,11,9,28,1,6,0,0,0,9,0
CL00606,0,0,0,0,0,0,0,0,0,0,3,12,0,1,174,38,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5,0
CL00615,0,2,0,26,0,3,0,0,4,0,1,3,0,0,0,0,63,25,44,36,6,4,2,14,8,0,3,28,0,3,0,0
CL00621,0,0,0,0,7,0,56,15,3,0,0,7,0,0,0,0,0,0,0,0,0,28,92,12,26,0,1,0,0,0,0,0
CL00622,0,0,0,0,0,0,0,0,5,0,7,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,136,0
CL00642,0,0,0,0,0,0,0,0,0,0,0,0,0,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,11,28,0
CL00643,0,0,0,0,0,13,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,227,0
CL00650,0,0,0,0,0,0,0,0,2,0,1,0,0,17,0,26,52,2,0,13,0,0,0,1,0,4,3,4,0,47,15,32
CL00655,0,0,0,0,0,52,0,7,0,3,2,30,1,0,3,3,3,0,0,0,0,0,4,13,79,0,0,0,1,0,2,1
CL00664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,222,0,0,0,0
CL00670,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0
CL00674,0,5,0,0,0,0,0,0,3,1,4,0,0,16,0,2,51,3,4,28,0,0,0,0,0,4,0,0,18,59,0,0
CL00676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,243
CL00678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,224
CL00700,0,0,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
CL00702,0,0,28,0,0,1,0,0,0,14,5,2,0,9,49,0,0,0,2,5,13,2,0,0,7,10,0,0,0,21,26,3
CL00705,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,185,0,0,1,1,0,0,0,0,0
CL00706,0,0,0,0,0,0,0,0,0,0,0,0,0,116,0,0,0,0,0,0,0,0,0,0,0,0,0,2,58,0,0,0
CL00713,0,0,0,0,0,1,0,0,0,2,0,2,1,23,0,113,0,0,0,14,0,0,0,0,0,0,0,0,0,1,1,11
CL00715,113,0,13,4,0,0,0,1,0,0,0,0,0,0,0,0,23,11,60,16,0,0,2,0,0,0,0,0,0,0,1,0
CL00719,4,3,0,0,3,0,2,0,0,22,0,0,2,90,2,8,1,4,0,0,0,0,10,0,2,0,0,0,13,6,0,15
CL00727,0,0,0,0,0,0,0,0,0,0,1,0,0,8,0,0,75,0,0,14,0,0,0,0,0,15,8,3,8,19,56,3
CL00752,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,0
CL00764,0,0,1,0,2,0,10,5,0,0,2,1,0,36,6,45,9,0,0,0,0,5,0,1,0,9,2,0,9,14,3,5
