OTU,SB01,SB02,SB03,SB04,SB05,SB06,SB07,SB08,SB09,SB10,SB11,SB12,SB13,SB14,SB15,SB16,XS01,XS02,XS03,XS04,XS05,XS06,XS07,XS08,XS09,XS10,XS11,XS12,XS13,XS14,XS15,XS16
CL00441,0,0,0,0,0,0,59,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,298,0,0,4,0,5,0,0,0,0
CL00445,108,0,0,0,0,7,0,0,0,137,0,0,0,5,1,0,24,2,0,0,4,8,12,1,0,3,0,48,0,12,0,0
CL00448,0,0,0,0,0,3,13,0,0,0,0,0,7,0,0,0,0,0,0,0,313,0,12,0,0,1,0,10,0,0,0,0
CL00452,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,432,0,0,0,0,0,0,0,0,0,0,0,0,0
CL00456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,343,0
CL00458,0,0,0,0,0,0,0,0,0,0,123,132,0,0,0,0,0,0,0,0,0,0,0,0,1,20,34,0,0,0,0,0
CL00459,0,0,0,0,0,0,0,0,0,0,0,0,0,282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,21
CL00462,0,0,287,0,0,0,0,0,0,0,0,0,37,0,0,0,43,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0
CL00463,0,1,0,5,0,0,0,0,1,4,7,0,0,3,0,59,85,0,3,4,0,0,0,0,3,3,109,8,37,13,0,13
CL00470,0,0,0,2,0,0,0,0,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0
CL00474,0,4,0,0,0,0,0,0,24,0,1,0,0,0,28,15,42,7,23,9,0,0,0,0,0,9,69,6,3,10,35,92
CL00480,8,3,0,5,16,8,28,23,8,14,5,9,5,3,7,1,5,6,2,8,11,23,19,26,21,29,12,31,4,2,1,1
CL00481,0,0,0,0,0,0,0,0,0,0,109,0,0,0,0,6,0,0,0,0,0,0,0,0,2,192,0,0,0,0,0,0
CL00483,0,0,0,0,1,13,4,0,0,0,2,0,0,0,0,0,0,0,0,0,40,111,115,29,0,0,12,0,0,0,0,0
CL00484,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,334,0,0,0
CL00487,0,0,0,0,0,0,0,0,0,0,0,0,172,0,8,40,0,0,0,0,0,0,0,0,0,0,0,0,48,8,1,4
CL00488,0,41,12,0,0,5,0,2,0,6,0,12,11,7,1,31,17,0,0,0,0,1,3,0,3,2,0,17,39,102,0,20
CL00489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,277,0,0,0,0,72,7,0,0,0,0,0,0
CL00490,0,0,205,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,124,14,0,0
CL00491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,121,8,0,0,187,4,0,18,0,0,0,0,0
CL00493,0,0,6,0,0,0,0,0,0,1,3,3,0,75,6,167,0,0,0,0,0,0,0,0,0,0,2,16,0,0,20,17
CL00499,0,0,5,0,0,5,0,1,0,0,0,0,29,0,0,0,0,0,0,0,0,149,85,0,0,5,0,24,0,0,0,0
CL00501,3,0,0,0,5,31,0,0,0,26,0,2,14,5,0,26,0,0,0,0,19,4,14,46,5,7,0,16,37,14,1,9
CL00503,3,0,0,7,1,16,0,1,1,4,12,0,0,0,0,0,1,1,0,11,5,6,3,6,15,11,0,218,0,0,0,0
CL00507,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,17,0,0,0,0,0,0,0,0,0,0,0,0,145,88,10,37
CL00509,0,2,0,7,2,9,34,0,1,28,1,0,11,0,0,10,0,6,0,0,21,28,37,6,1,30,12,51,0,0,0,0
CL00513,0,0,0,0,0,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,6,18,2,0,0,0,0,0,0
CL00515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,258,0,0
CL00520,0,0,0,0,0,0,0,0,0,0,0,0,216,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,34,0
CL00521,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,176,0,0
CL00523,0,0,285,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0
CL00526,1,6,9,102,0,14,0,31,13,0,0,1,0,0,0,0,15,4,87,7,0,9,0,12,3,0,0,0,0,0,0,0
CL00533,55,12,3,43,0,0,0,0,4,0,0,1,1,0,0,1,3,18,157,14,0,0,10,0,9,10,3,0,5,0,0,0
CL00534,0,0,0,0,0,0,0,0,0,0,4,0,0,0,12,17,0,0,0,0,0,0,0,0,6,34,0,0,0,0,196,14
CL00535,0,7,18,0,0,0,0,7,8,1,25,37,0,0,0,0,32,0,12,7,3,8,8,35,4,5,75,1,0,0,0,1
CL00537,235,35,0,1,0,64,9,1,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CL00540,0,1,0,0,43,13,40,4,4,13,7,79,0,0,2,0,0,3,0,0,1,14,0,6,3,4,2,2,0,0,0,0
CL00541,5,3,53,18,0,0,0,0,2,10,0,3,20,5,4,13,0,0,10,9,0,0,0,0,0,2,0,0,96,0,10,32
CL00543,9,2,0,3,0,0,0,0,1,0,0,0,5,4,0,0,116,61,28,26,0,0,0,0,3,3,11,0,3,40,0,0
CL00547,55,2,12,3,5,4,10,0,0,0,0,0,0,0,0,0,18,0,49,15,34,18,52,2,11,18,2,0,4,0,0,0
CL00552,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,155,0,0,0,0,14,0,36,44,0,0,0,0,0,0,0,0
